filename,note,string,fret,take,onset_time,rms_peak_time,analysis_start_time,analysis_end_time
F4_S3_F10_02.wav,F4,3,10,2,3.15,3.26,3.51,4.01
F4_S3_F10_03.wav,F4,3,10,3,2.41,2.465,2.715,3.215
F4_S3_F10_04.wav,F4,3,10,4,2.01,2.115,2.365,2.865
F4_S3_F10_05.wav,F4,3,10,5,3.95,4.055,4.305,4.805
F4_S3_F10_06.wav,F4,3,10,6,2.695,2.735,2.985,3.485
F4_S3_F10_07.wav,F4,3,10,7,3.415,3.52,3.77,4.27
F4_S3_F10_08.wav,F4,3,10,8,2.15,2.255,2.505,3.005
F4_S3_F10_09.wav,F4,3,10,9,3.255,3.355,3.605,4.105
F4_S3_F10_10.wav,F4,3,10,10,3.45,3.555,3.805,4.305
G3_S3_F0_01.wav,G3,3,0,1,1.405,1.445,1.695,2.1950000000000003
G3_S3_F0_02.wav,G3,3,0,2,1.47,1.515,1.765,2.2649999999999997
G3_S3_F0_03.wav,G3,3,0,3,1.46,1.5,1.75,2.25
G3_S3_F0_04.wav,G3,3,0,4,1.58,1.625,1.875,2.375
G3_S3_F0_05.wav,G3,3,0,5,1.4,1.44,1.69,2.19
G3_S3_F0_06.wav,G3,3,0,6,1.175,1.22,1.47,1.97
G3_S3_F0_07.wav,G3,3,0,7,2.3,2.345,2.595,3.095
G3_S3_F0_08.wav,G3,3,0,8,1.06,1.105,1.355,1.855
G3_S3_F0_09.wav,G3,3,0,9,1.37,1.41,1.66,2.16
G3_S3_F0_10.wav,G3,3,0,10,3.315,3.355,3.605,4.105
G3_S4_F5_01.wav,G3,4,5,1,3.91,3.95,4.2,4.7
G3_S4_F5_02.wav,G3,4,5,2,3.395,3.435,3.685,4.1850000000000005
G3_S4_F5_03.wav,G3,4,5,3,4.44,4.48,4.73,5.23
G3_S4_F5_04.wav,G3,4,5,4,3.735,3.775,4.025,4.525
G3_S4_F5_05.wav,G3,4,5,5,2.9,2.945,3.195,3.695
G3_S4_F5_06.wav,G3,4,5,6,5.435,5.475,5.725,6.225
G3_S4_F5_07.wav,G3,4,5,7,3.355,3.395,3.645,4.145
G3_S4_F5_08.wav,G3,4,5,8,2.565,2.605,2.855,3.355
G3_S4_F5_09.wav,G3,4,5,9,3.125,3.165,3.415,3.915
G3_S4_F5_10.wav,G3,4,5,10,3.345,3.385,3.635,4.135
G3_S5_F10_01.wav,G3,5,10,1,4.84,4.875,5.125,5.625
G3_S5_F10_02.wav,G3,5,10,2,4.35,4.39,4.64,5.14
G3_S5_F10_03.wav,G3,5,10,3,3.435,3.47,3.72,4.220000000000001
G3_S5_F10_04.wav,G3,5,10,4,2.95,2.985,3.235,3.735
G3_S5_F10_05.wav,G3,5,10,5,2.355,2.39,2.64,3.14
G3_S5_F10_06.wav,G3,5,10,6,2.15,2.185,2.435,2.935
G3_S5_F10_07.wav,G3,5,10,7,2.33,2.365,2.615,3.115
G3_S5_F10_08.wav,G3,5,10,8,3.46,3.495,3.745,4.245
G3_S5_F10_09.wav,G3,5,10,9,2.895,2.93,3.18,3.68
G3_S5_F10_10.wav,G3,5,10,10,2.56,2.595,2.845,3.345
test_29.wav,,,,,,,,
test_30.wav,,,,,,,,
test_31.wav,,,,,,,,
test_32.wav,,,,,,,,
test_33.wav,,,,,,,,
test_34.wav,,,,,,,,
